minggu,total_kg,lag_1,lag_2,lag_4,roll_4,roll_8,week_num,month,quarter
2024-02-26,4080,4000.0,2213.0,1923.0,3063.0,3595.25,9,2,1
2024-03-04,8305,4080.0,4000.0,4116.0,3602.25,3942.75,10,3,1
2024-03-11,2120,8305.0,4080.0,2213.0,4649.5,4555.25,11,3,1
2024-03-18,7658,2120.0,8305.0,4000.0,4626.25,4095.875,12,3,1
2024-03-25,4036,7658.0,2120.0,4080.0,5540.75,4301.875,13,3,1
2024-04-01,4428,4036.0,7658.0,8305.0,5529.75,4566.0,14,4,2
2024-04-08,2511,4428.0,4036.0,2120.0,4560.5,4605.0,15,4,2
2024-04-15,6402,2511.0,4428.0,7658.0,4658.25,4642.25,16,4,2
2024-04-22,6144,6402.0,2511.0,4036.0,4344.25,4942.5,17,4,2
2024-04-29,5131,6144.0,6402.0,4428.0,4871.25,5200.5,18,4,2
2024-05-06,3721,5131.0,6144.0,2511.0,5047.0,4803.75,19,5,2
2024-05-13,6344,3721.0,5131.0,6402.0,5349.5,5003.875,20,5,2
2024-05-20,4039,6344.0,3721.0,6144.0,5335.0,4839.625,21,5,2
2024-05-27,6869,4039.0,6344.0,5131.0,4808.75,4840.0,22,5,2
2024-06-03,2851,6869.0,4039.0,3721.0,5243.25,5145.125,23,6,2
2024-06-10,3246,2851.0,6869.0,6344.0,5025.75,5187.625,24,6,2
2024-06-17,6552,3246.0,2851.0,4039.0,4251.25,4793.125,25,6,2
2024-06-24,5556,6552.0,3246.0,6869.0,4879.5,4844.125,26,6,2
2024-07-01,2729,5556.0,6552.0,2851.0,4551.25,4897.25,27,7,3
2024-07-08,5487,2729.0,5556.0,3246.0,4520.75,4773.25,28,7,3
2024-07-15,2679,5487.0,2729.0,6552.0,5081.0,4666.125,29,7,3
2024-07-22,4308,2679.0,5487.0,5556.0,4112.75,4496.125,30,7,3
2024-07-29,2478,4308.0,2679.0,2729.0,3800.75,4176.0,31,7,3
2024-08-05,2317,2478.0,4308.0,5487.0,3738.0,4129.375,32,8,3
2024-08-12,6725,2317.0,2478.0,2679.0,2945.5,4013.25,33,8,3
2024-08-19,8624,6725.0,2317.0,4308.0,3957.0,4034.875,34,8,3
2024-08-26,7504,8624.0,6725.0,2478.0,5036.0,4418.375,35,8,3
2024-09-02,5489,7504.0,8624.0,2317.0,6292.5,5015.25,36,9,3
2024-09-09,1771,5489.0,7504.0,6725.0,7085.5,5015.5,37,9,3
2024-09-16,4677,1771.0,5489.0,8624.0,5847.0,4902.0,38,9,3
2024-09-23,2482,4677.0,1771.0,7504.0,4860.25,4948.125,39,9,3
2024-09-30,5913,2482.0,4677.0,5489.0,3604.75,4948.625,40,9,3
2024-10-07,5282,5913.0,2482.0,1771.0,3710.75,5398.125,41,10,4
2024-10-14,5265,5282.0,5913.0,4677.0,4588.5,5217.75,42,10,4
2024-10-21,3917,5265.0,5282.0,2482.0,4735.5,4797.875,43,10,4
2024-10-28,5260,3917.0,5265.0,5913.0,5094.25,4349.5,44,10,4
2024-11-04,2858,5260.0,3917.0,5282.0,4931.0,4320.875,45,11,4
2024-11-11,4663,2858.0,5260.0,5265.0,4325.0,4456.75,46,11,4
2024-11-18,5518,4663.0,2858.0,3917.0,4174.5,4455.0,47,11,4
2024-11-25,4523,5518.0,4663.0,5260.0,4574.75,4834.5,48,11,4
2024-12-02,2977,4523.0,5518.0,2858.0,4390.5,4660.75,49,12,4
2024-12-09,4683,2977.0,4523.0,4663.0,4420.25,4372.625,50,12,4
2024-12-16,3572,4683.0,2977.0,5518.0,4425.25,4299.875,51,12,4
2024-12-23,2414,3572.0,4683.0,4523.0,3938.75,4256.75,52,12,4
2024-12-30,1971,2414.0,3572.0,2977.0,3411.5,3901.0,1,12,4
2025-01-06,7345,1971.0,2414.0,4683.0,3160.0,3790.125,2,1,1
2025-01-13,2743,7345.0,1971.0,3572.0,3825.5,4125.375,3,1,1
2025-01-20,7336,2743.0,7345.0,2414.0,3618.25,3778.5,4,1,1
2025-01-27,3618,7336.0,2743.0,1971.0,4848.75,4130.125,5,1,1
2025-02-03,2509,3618.0,7336.0,7345.0,5260.5,4210.25,6,2,1
2025-02-10,3283,2509.0,3618.0,2743.0,4051.5,3938.5,7,2,1
2025-02-17,4044,3283.0,2509.0,7336.0,4186.5,3902.375,8,2,1
2025-02-24,892,4044.0,3283.0,3618.0,3363.5,4106.125,9,2,1
2025-03-03,2866,892.0,4044.0,2509.0,2682.0,3971.25,10,3,1
2025-03-10,3309,2866.0,892.0,3283.0,2771.25,3411.375,11,3,1
2025-03-17,4183,3309.0,2866.0,4044.0,2777.75,3482.125,12,3,1
2025-03-24,1502,4183.0,3309.0,892.0,2812.5,3088.0,13,3,1
2025-03-31,5380,1502.0,4183.0,2866.0,2965.0,2823.5,14,3,1
2025-04-07,2525,5380.0,1502.0,3309.0,3593.5,3182.375,15,4,2
2025-04-14,5711,2525.0,5380.0,4183.0,3397.5,3087.625,16,4,2
2025-04-21,3049,5711.0,2525.0,1502.0,3779.5,3296.0,17,4,2
2025-04-28,5025,3049.0,5711.0,5380.0,4166.25,3565.625,18,4,2
2025-05-05,3580,5025.0,3049.0,2525.0,4077.5,3835.5,19,5,2
2025-05-12,6151,3580.0,5025.0,5711.0,4341.25,3869.375,20,5,2
2025-05-19,2622,6151.0,3580.0,3049.0,4451.25,4115.375,21,5,2
2025-05-26,8053,2622.0,6151.0,5025.0,4344.5,4255.375,22,5,2
2025-06-02,5402,8053.0,2622.0,3580.0,5101.5,4589.5,23,6,2
2025-06-09,4336,5402.0,8053.0,6151.0,5557.0,4949.125,24,6,2
2025-06-16,5529,4336.0,5402.0,2622.0,5103.25,4777.25,25,6,2
2025-06-23,5143,5529.0,4336.0,8053.0,5830.0,5087.25,26,6,2
2025-06-30,3671,5143.0,5529.0,5402.0,5102.5,5102.0,27,6,2
2025-07-07,7242,3671.0,5143.0,4336.0,4669.75,5113.375,28,7,3
2025-07-14,3925,7242.0,3671.0,5529.0,5396.25,5249.75,29,7,3
2025-07-21,4261,3925.0,7242.0,5143.0,4995.25,5412.625,30,7,3
2025-07-28,7767,4261.0,3925.0,3671.0,4774.75,4938.625,31,7,3
2025-08-04,7336,7767.0,4261.0,7242.0,5798.75,5234.25,32,8,3
2025-08-11,3151,7336.0,7767.0,3925.0,5822.25,5609.25,33,8,3
2025-08-18,5446,3151.0,7336.0,4261.0,5628.75,5312.0,34,8,3
